Name,Category,Address,City,State,Zipcode,Phone,Latitude,Longitude
LORE 1731 NH F&B LLC.,Restaurant,1731 NEW HAMPSHIRE AVE NW ,WASHINGTON,DC,20009,Not Available,38.91333997,-77.03947104
Unknown,Restaurant,2411 18TH ST NW ,WASHINGTON,DC,20009,Not Available,38.92087951,-77.04175166
NOSTRA CUCINA LLC,Restaurant,320 D ST NE ,WASHINGTON,DC,20002,Not Available,38.89494888,-77.00117844
Ghostburger,Restaurant,1250 9TH ST NW ,WASHINGTON,DC,20001,Not Available,38.90693659,-77.02418977
EMILIE'S LLC,Restaurant,1101 PENNSYLVANIA AVE SE ,WASHINGTON,DC,20003,Not Available,38.88242568,-76.99135299
PHO VIET RESTAURANT INC,Restaurant,333 H ST NE ,WASHINGTON,DC,20002,Not Available,38.8999754806,-77.0008772952
Anxo Logistics LLC,Restaurant,5419 1ST ST NW ,WASHINGTON,DC,20011,Not Available,38.9562880519,-77.0113402396
LU FAMILY INC,Restaurant,528 23RD ST NW ,WASHINGTON,DC,20037,Not Available,38.89679235,-77.05067797
AMMATHAR LLC,Restaurant,1326 14TH ST NW ,WASHINGTON,DC,20005,Not Available,38.90814434,-77.03236437
ANNABELLE LLC,Restaurant,2132 FLORIDA AVE NW ,WASHINGTON,DC,20008,Not Available,38.91274676,-77.04726528
The Culinary District,Restaurant,1914 9TH ST NW ,WASHINGTON,DC,20001,Not Available,38.91603411,-77.02422214
Naomis Ladder II L.L.C.,Restaurant,1208 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90040609,-76.98980037
FHG77 LLC,Restaurant,845 UPSHUR ST NW ,WASHINGTON,DC,20011,Not Available,38.9420961598,-77.0246835159
ARE INC,Restaurant,1250 BLADENSBURG RD NE ,WASHINGTON,DC,20002,Not Available,38.90678262,-76.97948432
OHB DC Limited Liability Company,Restaurant,1401 OKIE ST NE ,WASHINGTON,DC,20002,Not Available,38.91442899,-76.98412869
"Compass Group USA, Inc.",Restaurant,3000 CATHEDRAL AVE NW ,WASHINGTON,DC,20008,Not Available,38.9282529,-77.06074709
Hine Restaurants LLC,Restaurant,300 7TH ST SE ,WASHINGTON,DC,20003,Not Available,38.885743,-76.99591972
Sodexo Magic,Restaurant,1709 NEW YORK AVE NW ,WASHINGTON,DC,20006,Not Available,38.8966779,-77.0403981
TAQUERIA AL LADO LLC,Restaurant,1792 COLUMBIA RD NW ,WASHINGTON,DC,20009,Not Available,38.92269595,-77.04225943
SUNdeVICH Growth Inc.,Restaurant,601 NEW JERSEY AVE NW ,WASHINGTON,DC,20001,Not Available,38.8978527,-77.01153315
Jam Doung Style LLC,Restaurant,1724 NORTH CAPITOL ST NW ,WASHINGTON,DC,20002,Not Available,38.91346905,-77.00937753
DC Shawarma & Poutine LLC,Restaurant,4600 WISCONSIN AVE NW ,WASHINGTON,DC,20016,Not Available,38.94997216,-77.08084368
"STOP SMACKN, L.L.C.",Restaurant,1839 7TH ST NW ,WASHINGTON,DC,20001,Not Available,38.91505485,-77.02170663
FIVE DIAMONDS CORP.,Restaurant,6209 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.96540986,-77.02727801
"Five Guys Properties, LLC dba Five Guys Burgers and Fries",Restaurant,4537 WISCONSIN AVE NW ,WASHINGTON,DC,20016,Not Available,38.94888334,-77.0798643
"IHI-DC, LLC",Restaurant,100 DISTRICT SQ SW ,WASHINGTON,DC,20024,Not Available,38.87982458,-77.02547356
"Chipotle Mexican Grill of Colorado, LLC",Restaurant,1300 CONNECTICUT AVE NW ,WASHINGTON,DC,20036,Not Available,38.90753308,-77.04270056
Horizon,Restaurant,5948 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.96238477,-77.02825437
"Actual Space, LLC",Restaurant,5029 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.9557599,-77.06986705
Roaming Rooster Western Market LLC,Restaurant,2000 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20006,Not Available,38.90035538,-77.0457758
"ALADDIN PIZZA AND KABOB, INC.",Restaurant,1782 FLORIDA AVE NW ,WASHINGTON,DC,20009,Not Available,38.9167216,-77.04133676
Szechuan House,Restaurant,515 8TH ST SE ,WASHINGTON,DC,20003,Not Available,38.88222599,-76.9953342
Philotimo,Restaurant,1100 15TH ST NW ,WASHINGTON,DC,20005,Not Available,38.90402734,-77.03498658
KOTOBUKI RESTAURANT,Restaurant,4822 MACARTHUR NW ,WASHINGTON,DC,20007-1557,Not Available,38.91671188,-77.09639161
LETTA DC LLC,Restaurant,901 4TH ST NW ,WASHINGTON,DC,20001,Not Available,38.90167942,-77.01586789
2500 Penn Partners LLC,Restaurant,2500 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20037,Not Available,38.9034406622,-77.0536471915
"TRUMAN ENTERPRISES, LLC.",Restaurant,7435 GEORGIA AVE NW ,WASHINGTON,DC,20012-1721,Not Available,38.98094075,-77.02618407
"COMEBACK KID, LLC",Restaurant,1100 15TH ST NW ,WASHINGTON,DC,20005,Not Available,38.90402734,-77.03498658
MARCELLINO LLC,Restaurant,300 MORSE ST NE ,WASHINGTON,DC,20002,Not Available,38.90899572,-77.00088778
COFFE SHOP,Restaurant,5215 LOUGHBORO RD NW ,WASHINGTON,DC,20016,Not Available,38.93692927,-77.10749347
Taco Jont LLC,Restaurant,3211 MOUNT PLEASANT ST NW ,WASHINGTON,DC,20010,Not Available,38.93152287,-77.03823747
BL Spring Valley DC LLC,Restaurant,4872 MASSACHUSETTS AVE NW ,WASHINGTON,DC,20016,Not Available,38.94529029,-77.09647351
CitySwing LLC,Restaurant,901 NEW YORK AVE NW ,WASHINGTON,DC,20001,Not Available,38.90211638,-77.02527931
BLUE MOON,Restaurant,1827 M ST NW ,WASHINGTON,DC,20036,Not Available,38.90583717,-77.04284723
"Ezekiel Entertainment II, LLC  t/a L' Annexe",Restaurant,2917 M ST NW ,WASHINGTON,DC,20007,Not Available,38.90536439,-77.05866124
Unido Shaw LLC,Restaurant,901 W ST NW ,WASHINGTON,DC,20001,Not Available,38.9192077564,-77.0242741893
ZHANG HOUSE LLC,Restaurant,1200 19TH ST NW ,WASHINGTON,DC,20036,Not Available,38.90610705,-77.04386876
PASSATO,Restaurant,2455 18TH ST NW ,WASHINGTON,DC,20009,Not Available,38.92189511,-77.04209036
Nutritional Wealth and Wellness,Restaurant,2234 TOWN CENTER DR SE ,WASHINGTON,DC,20020,Not Available,38.86094087,-76.96723545
Pho House,Restaurant,637 T ST NW ,WASHINGTON,DC,20001,Not Available,38.91573192,-77.02137579
Colada Shop,Restaurant,1900 N ST NW ,WASHINGTON,DC,20036,Not Available,38.90706443,-77.0439881
HP ACDC Hotel LP,Restaurant,1330 MARYLAND AVE SW ,WASHINGTON,DC,20024,Not Available,38.88360211,-77.03044887
Americantina LLC,Restaurant,3203 MOUNT PLEASANT ST NW ,WASHINGTON,DC,20010,Not Available,38.93136111,-77.03816022
DANNY BOY LLC,Restaurant,921 PENNSYLVANIA AVE SE ,WASHINGTON,DC,20003,Not Available,38.8829893661,-76.9931375199
WHARF 5 HOTEL EAST TRS LEASEHOLDER LLC,Restaurant,975 7TH ST SW ,WASHINGTON,DC,20024,2024882500.0,38.87852987,-77.02343195
LUKE'S LOBSTER,Restaurant,800 17TH ST NW ,WASHINGTON,DC,20006,Not Available,38.90048082,-77.03974245
DOMINO'S,Restaurant,1335 2ND ST NE ,WASHINGTON,DC,20002,7037347080.0,38.90801194,-77.00329098
FIVE GUYS BURGERS AND FRIES,Restaurant,1400 I ST NW ,WASHINGTON,DC,20005,Not Available,38.90102426,-77.0322809
Joe & The Juice,Restaurant,950 15TH ST NW ,WASHINGTON,DC,20005,Not Available,38.901895203,-77.0348119179
ALL PURPOSE,Restaurant,79 POTOMAC AVE SE ,WASHINGTON,DC,20003,Not Available,38.87134746,-77.00682875
CANTINA BAMBINA LLC,Restaurant,960 WHARF ST SW ,WASHINGTON,DC,20024,Not Available,38.87988533,-77.02653353
O-KU WASHINGTON LLC,Restaurant,1274 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90818683,-76.998656
LA VIE,Restaurant,88 DISTRICT SQ SW ,WASHINGTON,DC,20024,Not Available,38.87997155,-77.02567472
SEASONS CULINARY SERVICE INC.,Restaurant,2112 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20037,Not Available,38.90150174,-77.04796613
SPIN DC LLC.,Restaurant,1332 F ST NW ,WASHINGTON,DC,20004,Not Available,38.89714603,-77.03082735
SODEXO OPERATIONS LLC,Restaurant,1100 15TH ST NW ,WASHINGTON,DC,20005,Not Available,38.90402734,-77.03498658
PANERA BREAD,Caterers,4503 WISCONSIN AVE NW ,WASHINGTON,DC,20016,Not Available,38.94817715,-77.07941868
NAI Saturn Eastern LLC,Grocery Store,490 L ST NW ,WASHINGTON,DC,20001,Not Available,38.90348935,-77.01835263
Foxtrot Retail DC LLC,Grocery Store,1601 CONNECTICUT AVE NW ,WASHINGTON,DC,20009,Not Available,38.91136832,-77.04406443
SODEXO OPERATIONS LLC,Restaurant,3100 MACOMB ST NW ,WASHINGTON,DC,20008,Not Available,38.93242143,-77.06172522
"MHG CAFE FOGGY BOTTOM, LLC",Restaurant,2221 I ST NW ,WASHINGTON,DC,20037,Not Available,38.90097485,-77.04962044
BLACK'S 14TH STREET LLC,Restaurant,1612 14TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91163015,-77.03234773
UPTOWNER CAFE,Restaurant,2023 G ST NW ,WASHINGTON,DC,20006,Not Available,38.89860514,-77.04578298
CARVINGS ONE INC.,Restaurant,2021 F ST NW ,WASHINGTON,DC,20006,Not Available,38.89757594,-77.04554727
BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY (THE),Restaurant,2661 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,2023326235.0,38.92527855,-77.0521334
A.C. ADAMS LLC,Restaurant,1811 COLUMBIA RD NW ,WASHINGTON,DC,20009,Not Available,38.92211949,-77.04353969
"U STREET GOLDEN FOODS, LLC.",Restaurant,1944 14TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91685004,-77.03221992
COSTCO WHOLESALE CORPORATION,Restaurant,2441 MARKET ST NE ,WASHINGTON,DC,20018,Not Available,38.92039164,-76.95038922
