Posting Date,Transaction Date,Description,State,Amount,Store
12/23,12/24,HAAGEN-DAZS 508 ARLINGTON,VA,9.61,HAAGEN-DAZS 508 ARLINGTON
12/23,12/24,MACY S PENTAGON CITY ARLINGTON,VA,89.04,MACY S PENTAGON CITY ARLINGTON
12/23,12/24,HARRIS TEETER #0083 ARLINGTON,VA,3.32,HARRIS TEETER #0083 ARLINGTON
12/23,12/24,T.J. MAXX #1459 ARLINGTON,VA,38.14,T.J. MAXX #1459 ARLINGTON
12/24,12/26,FOREVER21 1793 ARLINGTON,VA,12.17,FOREVER21 1793 ARLINGTON
12/24,12/26,CHIPOTLE ONLINE CHIPOTLE.COM,CA,10.95,CHIPOTLE ONLINE CHIPOTLE.COM
12/25,12/25,12/26 DD *DOORDASH SWEETFROG WWW.DOORDASH.CA 6069 0387,,13.49,1226 DD *DOORDASH SWEETFROG WWW.DOORDASH.CA 6069 0387
12/25,12/25,12/26 EMPOWER* VINCENT N BUR DRIVEEMPOWER.VA 2815 0387,,15.59,1226 EMPOWER* VINCENT N BUR DRIVEEMPOWER.VA 2815 0387
12/24,12/27,FMB LAUNDRY MOBILE PASADENA,MD,10.0,FMB LAUNDRY MOBILE PASADENA
12/27,12/27,12/28 EMPOWER* JIDE OGUNTUAS DRIVEEMPOWER.VA 1429 0387,,2.0,1228 EMPOWER* JIDE OGUNTUAS DRIVEEMPOWER.VA 1429 0387
12/27,12/28,SQ *POMMES FRITES New York,NY,10.89,SQ *POMMES FRITES New York
12/27,12/28,JACK'S COFFEE NEW YORK,NY,3.27,JACK'S COFFEE NEW YORK
12/27,12/30,PRET A MANGER 1000118 NEWARK,DE,4.39,PRET A MANGER 1000118 NEWARK
12/27,12/30,AUNTIE ANNES 1000110 NEWARK,DE,10.58,AUNTIE ANNES 1000110 NEWARK
12/28,12/30,DOS CAMINOS MP NEW YORK,NY,96.43,DOS CAMINOS MP NEW YORK
12/28,12/30,SQ *SOUVENIRS GER.EMI CORManhattan,NY,16.34,SQ *SOUVENIRS GER.EMI CORManhattan
12/28,12/30,WAWA 8465 UNION,NJ,4.25,WAWA 8465 UNION
12/28,12/30,EATALY SOHO NEW YORK,NY,110.84,EATALY SOHO NEW YORK
12/29,12/30,OLIYO 34 NEW YORK,NY,7.33,OLIYO 34 NEW YORK
12/29,12/29,12/30 EMPOWER* MD ASHIQUR AK DRIVEEMPOWER.VA 8713 0387,,14.06,1230 EMPOWER* MD ASHIQUR AK DRIVEEMPOWER.VA 8713 0387
12/29,12/30,NJT BUS MY-TIX 973-378-6339,NJ,13.8,NJT BUS MY-TIX 973-378-6339
12/29,12/30,GIFTS & LUGGAGE NEW YORK,NY,10.89,GIFTS & LUGGAGE NEW YORK
12/29,12/30,AUNTIE ANNE'S #NY 155 NEW YORK,NY,8.7,AUNTIE ANNE'S #NY 155 NEW YORK
12/29,12/31,HY ATTRACTIONS MANAGER MANHATTAN,NY,65.34,HY ATTRACTIONS MANAGER MANHATTAN
12/29,12/31,TAMER HALAL FOOD 31 ST ASTORIA,NY,2.26,TAMER HALAL FOOD 31 ST ASTORIA
12/29,12/31,SBARRO 142 614-7699884,NY,3.9,SBARRO 142 614-7699884
12/29,12/31,SBARRO 142 614-7699884,NY,1.09,SBARRO 142 614-7699884
